"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Château de Tiregand"	"France"	"Sud-Ouest"	"Bergerac"	"blanc"	"2012"	"75 cl"	"2013-10-10"	"0.00"	"0.00"	"1"	"1"	"1"	"4"	"1"			"Propriétaire"	"En direct du producteur"
"Château de Tiregand - Grand Millésime"	"France"	"Sud-Ouest"	"Pécharmant"	"rouge"	"2009"	"75 cl"	"2013-10-10"	"19.80"	"19.80"	"6"	"6"	"4"	"10"	"4"			"Proprietaire"	"En direct du producteur"
"Château Donissan"	"France"	"Bordeaux"	"Listrac-Médoc"	"rouge"	"2010"	"75 cl"	"2015-01-01"	"0.00"	"0.00"	"0"	"1"	"5"	"15"	"5"				"Non défini"
"Château du Bousquet"	"France"	"Bordeaux"	"Côtes de Bourg"	"rouge"	"2012"	"75 cl"	"2015-09-05"	"0.00"	"0.00"	"1"	"1"	"4"	"10"	"4"			"cadeau xavier"	"Non défini"
"Château Garraud"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2009"	"75 cl"	"2012-12-27"	"12.50"	"15.00"	"6"	"6"	"5"	"25"	"5"			"Euriware"	"En direct du producteur"
"Château Garraud"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2011"	"75 cl"	"2013-07-26"	"12.50"	"15.00"	"2"	"3"	"5"	"25"	"5"			"Euriware"	"En direct du producteur"
"Château Garraud"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2012"	"75 cl"	"2014-11-04"	"0.00"	"19.00"	"6"	"6"	"5"	"25"	"5"			"primeur"	"En direct du producteur"
"Château Gloria"	"France"	"Bordeaux"	"Saint Julien"	"rouge"	"2009"	"75 cl"	"2012-10-01"	"32.00"	"35.00"	"6"	"6"	"4"	"25"	"4"		"Note : 89. . Cote : 4? (12/2012). . Source : http://www.wine-searcher.com/find/gloria+st+julien+haut+medoc+bordeaux+france/2009"	"Leclerc"	"Non défini"
"Château Grand Barrail Lamarzelle Figeac"	"France"	"Bordeaux"	"Saint Emilion Grand Cru"	"rouge"	"2010"	"75 cl"	"2015-01-01"	"0.00"	"0.00"	"1"	"1"	"4"	"25"	"4"				"Non défini"
"Château Gruaud Larose"	"France"	"Bordeaux"	"Saint Julien"	"rouge"	"2010"	"75 cl"	"2017-11-10"	"75.00"	"75.00"	"2"	"2"	"4"	"25"	"4"			"Super U Challans"	"Grande surface"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2009"	"75 cl"	"2013-03-23"	"50.00"	"50.00"	"6"	"6"	"5"	"30"	"5"			"Au chateau"	"En direct du producteur"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2004"	"75 cl"	"2014-01-25"	"25.00"	"35.90"	"2"	"2"	"5"	"30"	"5"			"Carrefour Lorient"	"Grande surface"
