"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Domaine Bachelet Vieilles Vignes"	"France"	"Bourgogne"	"Maranges"	"rouge"	"2005"	"75 cl"	"2009-01-17"	"0.00"	"10.00"	"0"	"1"	"2"	"8"	"2"			"Cadeau"	"Cadeau"
"Domaine Baud"	"France"	"Jura"	"Château-Châlon"	"vin jaune"	"2005"	"62 cl"	"2014-03-15"	"32.00"	"32.00"	"6"	"6"	"5"	"30"	"5"			"ventealalpropriete.com"	"Achat sur Internet"
"Domaine Benoît Badoz"	"France"	"Jura"	"Côtes du Jura"	"vin jaune"	"2008"	"62 cl"	"2015-02-24"	"24.90"	"24.90"	"6"	"6"	"5"	"50"	"15"			"Vente à la propriété"	"Achat sur Internet"
"Domaine Coudray-Bizot"	"France"	"Bourgogne"	"Echezeaux"	"rouge"	"2009"	"75 cl"	"2015-05-23"	"110.00"	"110.00"	"3"	"3"	"4"	"11"	"4"			"Ventealapropriete.com"	"Achat sur Internet"
"Domaine de Cantaussels - Merlot"	"France"	"Languedoc-Roussillon"	"Vin de Pays des Côtes de Thongue"	"rouge"	"2007"	"75 cl"	"2009-01-17"	"0.00"	"0.00"	"0"	"1"	"1"	"2"	"1"			"Cadeau"	"Cadeau"
"Domaine de la Pinte - Poulsard"	"France"	"Jura"	"Arbois"	"rouge"	"1983"	"75 cl"	"2013-06-15"	"0.00"	"8.00"	"1"	"1"	"2"	"5"	"2"			"Cadeau Jojo"	"Cadeau"
"Domaine de Maltaverne"	"France"	"Vallée de la Loire"	"Pouilly Fumé"	"blanc"	"2011"	"75 cl"	"2012-12-31"	"0.00"	"10.00"	"1"	"2"	"3"	"10"	"3"			"Cadeau"	"Cadeau"
"Domaine Denis Père et Fils"	"France"	"Bourgogne"	"Aloxe-Corton"	"rouge"	"2011"	"75 cl"	"2015-01-17"	"0.00"	"21.00"	"1"	"1"	"4"	"15"	"4"			"Cadeau anniversaire"	"Caviste"
"Domaine des Gauletteries"	"France"	"Vallée de la Loire"	"Jasnières"	"blanc"	"2007"	"75 cl"	"2009-01-17"	"0.00"	"7.00"	"0"	"1"	"4"	"15"	"4"			"Anniversaire"	"Cadeau"
"Domaine du Grand Montmirail"	"France"	"Vallée du Rhône"	"Gigondas"	"rouge"	"2003"	"75 cl"	"2009-01-17"	"0.00"	"15.00"	"0"	"1"	"4"	"10"	"4"			"Anniversaire"	"Cadeau"
"Domaine Henri Clerc et Fils"	"France"	"Bourgogne"	"Puligny-Montrachet"	"blanc"	"2009"	"75 cl"	"2013-12-27"	"26.20"	"26.20"	"0"	"2"	"3"	"8"	"3"			"Leclerc"	"Grande surface"
"Domaine Jacques-Frédéric Mugnier - 1er Cru - Clos La Maréchale"	"France"	"Bourgogne"	"Nuits Saint Georges"	"rouge"	"2013"	"75 cl"	"2017-01-22"	"0.00"	"0.00"	"1"	"1"	"4"	"20"	"4"		"Cadeau papa 33 ans"	"Cave de longchamp"	"Cadeau"
"Domaine Lafage - Cuvée Nicolas"	"France"	"Languedoc-Roussillon"	"Vin de Pays des Côtes Catalanes"	"rouge"	"2012"	"75 cl"	"2013-12-31"	"11.90"	"11.90"	"3"	"6"	"1"	"6"	"3"			"Caviste lorient"	"Caviste"
"Domaine Le Roc des Anges - Reliefs"	"France"	"Languedoc-Roussillon"	"Côtes du Roussillon"	"rouge"	"2010"	"75 cl"	"2013-01-27"	"0.00"	"21.00"	"0"	"1"	"2"	"6"	"2"		"15 à 16°c, oxygénation en carafe recommandée"	"Cave de longchamps Nantes"	"Cadeau"
"Domaine Le Roc des Anges - Reliefs"	"France"	"Languedoc-Roussillon"	"Côtes du Roussillon Villages"	"rouge"	"2010"	"75 cl"	"2013-12-31"	"21.20"	"21.20"	"6"	"6"	"2"	"10"	"2"			"Caviste lorient"	"Caviste"
"Domaine Michel Blouin"	"France"	"Vallée de la Loire"	"Anjou"	"rouge"	"2007"	"75 cl"	"2012-12-27"	"0.00"	"0.00"	"0"	"1"	"1"	"4"	"1"				"En direct du producteur"
"Domaine Michel Brégeon - sur Lie"	"France"	"Vallée de la Loire"	"Muscadet-Sevre et Maine"	"blanc"	"2012"	"75 cl"	"2013-08-24"	"0.00"	"0.00"	"3"	"6"	"2"	"5"	"2"				"En direct du producteur"
"Domaine Mouthes Le Bihan"	"France"	"Sud-Ouest"	"Côtes de Duras"	"rouge"	"2008"	"75 cl"	"2015-01-01"	"0.00"	"0.00"	"0"	"1"	"2"	"7"	"2"				"Non défini"
"Domaine Ollier Taillefer - Castel Fossibus"	"France"	"Languedoc-Roussillon"	"Faugères"	"rouge"	"2010"	"75 cl"	"2013-08-01"	"15.90"	"13.90"	"3"	"12"	"3"	"8"	"3"			"Bacchuseum Lorient"	"Caviste"
"Domaine Pattes-Loup - Vent d'Anges"	"France"	"Bourgogne"	"Chablis"	"blanc"	"2014"	"75 cl"	"2017-01-22"	"0.00"	"0.00"	"1"	"1"	"2"	"5"	"2"		"Cadeau papa 33 ans"	"Cave de longchamp"	"Cadeau"
"Domaine Pfister Pinot Noir"	"France"	"Alsace et Lorraine"	"Alsace Pinot Noir"	"rouge"	"2014"	"75 cl"	"2016-01-05"	"0.00"	"13.50"	"1"	"1"	"2"	"10"	"2"			"Petit ballon"	"Cadeau"
"Domaine René Monnier "	"France"	"Bourgogne"	"Meursault"	"blanc"	"2014"	"75 cl"	"2016-10-17"	"27.50"	"27.50"	"2"	"2"	"3"	"15"	"3"			"Foire aux vins leclerc"	"Grande surface"
"Domaine Usseglio Raymond et Fils - Cuvée Impériale"	"France"	"Vallée du Rhône"	"Châteauneuf du Pape"	"rouge"	"2012"	"75 cl"	"2014-10-10"	"40.00"	"40.00"	"6"	"6"	"3"	"10"	"3"			"ventealapropriete.com"	"Achat sur Internet"
"Dopff &amp; Irion - Grand Cru Schoenenbourg"	"France"	"Alsace et Lorraine"	"Alsace Riesling"	"blanc"	"2010"	"75 cl"	"2014-10-15"	"20.00"	"20.00"	"4"	"6"	"2"	"10"	"2"			"Riquewirh"	"En direct du producteur"
"Dopff &amp; Irion - Grand Cru Vorbourg"	"France"	"Alsace et Lorraine"	"Alsace Riesling"	"blanc"	"2009"	"75 cl"	"2014-10-15"	"0.00"	"0.00"	"1"	"1"	"2"	"10"	"2"			"Riquewirh"	"Cadeau"
"E. Guigal"	"France"	"Vallée du Rhône"	"Crozes-Hermitage"	"rouge"	"2009"	"75 cl"	"2013-08-08"	"12.00"	"12.00"	"9"	"12"	"4"	"10"	"4"			"Millesima"	"Achat sur Internet"
"Fabien Collonge - Corcelette"	"France"	"Beaujolais"	"Morgon"	"rouge"	"2013"	"75 cl"	"2015-05-07"	"9.90"	"9.90"	"10"	"12"	"2"	"12"	"2"			"Vente à la propriété"	"Achat sur Internet"
"François Mossu"	"France"	"Jura"	"Château-Châlon"	"vin jaune"	"2007"	"62 cl"	"2014-10-16"	"25.00"	"25.00"	"6"	"6"	"5"	"30"	"5"			"Producteur (Voiteur)"	"En direct du producteur"
"François Mossu"	"France"	"Jura"	"Côtes du Jura"	"vin de paille"	"2008"	"37,5 cl"	"2014-10-16"	"16.00"	"16.00"	"5"	"5"	"4"	"30"	"4"			"Producteur (Voiteur)"	"En direct du producteur"
"G. Moulinier - Les Sigillaires"	"France"	"Languedoc-Roussillon"	"Saint Chinian"	"rouge"	"2000"	"75 cl"	"2013-05-03"	"10.40"	"10.40"	"1"	"12"	"3"	"13"	"5"			"Vente a la propriété"	"Non défini"
"Gaia - Notios"	"Grèce"	"Péloponnèse"	"Péloponnèse"	"rouge"	"2012"	"75 cl"	"2013-10-28"	"10.90"	"10.90"	"2"	"6"	"1"	"5"	"1"			"Ventre à la propriété"	"Achat sur Internet"
"Grand Marrenon"	"France"	"Vallée du Rhône"	"Côtes du Lubéron ou Lubéron"	"blanc"	"2014"	"75 cl"	"2016-01-18"	"0.00"	"0.00"	"1"	"1"	"2"	"5"	"2"			"Cadeau CERP"	"Cadeau"
"Henri Ehrhart - Réserve Particulière"	"France"	"Alsace et Lorraine"	"Alsace Gewurztraminer"	"blanc"	"2012"	"75 cl"	"2013-09-16"	"6.00"	"6.00"	"0"	"2"	"1"	"5"	"1"				"Grande surface"
"Henri Ehrhart - Vendanges Tardives"	"France"	"Alsace et Lorraine"	"Alsace Gewurztraminer"	"blanc moëlleux"	"2005"	"75 cl"	"2009-01-17"	"0.00"	"10.00"	"0"	"1"	"1"	"5"	"1"			"Anniversaire"	"Cadeau"
"Hugel - Vendange Tardive"	"France"	"Alsace et Lorraine"	"Alsace Gewurztraminer"	"blanc moëlleux"	"2001"	"75 cl"	"2014-10-15"	"36.12"	"36.12"	"3"	"3"	"10"	"30"	"10"			"Riquewirh"	"En direct du producteur"
"Jacques Tissot "	"France"	"Jura"	"Château-Châlon"	"vin jaune"	"1992"	"62 cl"	"2014-01-21"	"0.00"	"40.00"	"0"	"1"	"5"	"30"	"5"			"Cadeau anniversaire (Yann Boujou)"	"Cadeau"
"Jacques Tissot"	"France"	"Jura"	"Arbois"	"vin de paille"	"2006"	"37,5 cl"	"2015-05-06"	"0.00"	"25.00"	"1"	"1"	"4"	"30"	"4"				"Non défini"
"Jean-Jacques et Rémy Bonnet - L'Héritage"	"France"	"Vallée de la Loire"	"Muscadet-Sevre et Maine"	"blanc"	"2002"	"75 cl"	"2016-05-30"	"14.90"	"14.90"	"4"	"6"	"2"	"18"	"2"			"Ventealapropriete.com"	"Achat sur Internet"
"Jean-Marc Millot"	"France"	"Bourgogne"	"Grands Echezeaux"	"rouge"	"2011"	"75 cl"	"2014-03-29"	"86.76"	"95.00"	"3"	"3"	"4"	"20"	"4"			"vigniatis"	"Caviste"
"Jean-Marc Millot"	"France"	"Bourgogne"	"Clos de Vougeot"	"rouge"	"2011"	"75 cl"	"2014-03-29"	"63.94"	"70.00"	"3"	"3"	"4"	"20"	"4"			"vigniatis"	"Caviste"
"La Cave d'Augustin Florent"	"France"	"Vallée de la Loire"	"Sancerre"	"blanc"	"2011"	"75 cl"	"2013-01-01"	"0.00"	"10.50"	"0"	"1"	"2"	"5"	"2"				"Cadeau"
"La Fleur de Boüard"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2007"	"75 cl"	"2013-10-11"	"23.85"	"23.85"	"8"	"12"	"5"	"25"	"5"			"Leclerc"	"Grande surface"
"La Fleur de Boüard"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2009"	"75 cl"	"2013-10-11"	"30.00"	"30.00"	"5"	"6"	"5"	"25"	"5"			"Producteur"	"En direct du producteur"
"La Fleur de Boüard"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2010"	"75 cl"	"2013-10-11"	"26.00"	"26.00"	"6"	"6"	"5"	"25"	"5"			"Producteur"	"En direct du producteur"
"La Manufacture - 1er cru Forêts"	"France"	"Bourgogne"	"Chablis"	"blanc"	"2014"	"75 cl"	"2016-02-16"	"0.00"	"0.00"	"1"	"1"	"2"	"5"	"2"			"Petit ballon"	"Cadeau"
"Larmandier-Bernier - Latitude Extra Brut"	"France"	"Champagne"	"Champagne"	"blanc effervescent"	"-"	"75 cl"	"2014-03-01"	"33.85"	"33.85"	"3"	"3"	"0"	"5"	"1"			"Cave de longchamps"	"Caviste"
"Le Clos du Caillou, Les Quartz"	"France"	"Vallée du Rhône"	"Châteauneuf du Pape"	"rouge"	"2011"	"75 cl"	"2015-08-29"	"45.00"	"45.00"	"3"	"3"	"3"	"10"	"3"			"Ventealapropriete.com"	"Achat sur Internet"
"Le Faîte"	"France"	"Sud-Ouest"	"Saint-Mont"	"rouge"	"2012"	"75 cl"	"2016-01-05"	"0.00"	"17.00"	"1"	"1"	"2"	"6"	"2"			"Petit ballon"	"Cadeau"
"Le Pas Saint Martin - Jurassique"	"France"	"Vallée de la Loire"	"Saumur"	"blanc"	"2011"	"75 cl"	"2014-03-01"	"14.25"	"14.25"	"0"	"3"	"2"	"5"	"2"			"Cave de longchamps"	"Caviste"
"Le Plus de La Fleur de Boüard"	"France"	"Bordeaux"	"Lalande de Pomerol"	"rouge"	"2009"	"75 cl"	"2013-10-11"	"185.00"	"185.00"	"1"	"1"	"5"	"25"	"5"			"Producteur"	"En direct du producteur"
"Les Augustins - La coulée des Popes"	"France"	"Languedoc-Roussillon"	"Vin de Pays du Val de Montferrand"	"rouge"	"2012"	"75 cl"	"2013-10-28"	"6.90"	"6.90"	"3"	"12"	"1"	"8"	"4"			"Ventre à la propriété"	"Achat sur Internet"
"Les Dabinières - sur lie"	"France"	"Vallée de la Loire"	"Muscadet-Sevre et Maine"	"blanc"	"2013"	"75 cl"	"2015-05-06"	"7.00"	"7.00"	"6"	"12"	"2"	"10"	"2"			"Vente à la propriété"	"Achat sur Internet"
"Louis Latour - 1er Cru Fourchaume"	"France"	"Bourgogne"	"Chablis"	"blanc"	"2010"	"75 cl"	"2013-08-08"	"24.00"	"24.00"	"6"	"12"	"2"	"10"	"6"			"Millesima"	"Achat sur Internet"
"Marcel Cabelier"	"France"	"Jura"	"Côtes du Jura"	"vin jaune"	"1999"	"62 cl"	"2013-06-15"	"0.00"	"15.00"	"0"	"1"	"4"	"30"	"10"			"Cadeau Jojo"	"Cadeau"
"Masson Blondelet - D'or et diamant"	"France"	"Vallée de la Loire"	"Pouilly Fumé"	"blanc"	"2012"	"75 cl"	"2014-10-13"	"30.00"	"30.00"	"1"	"2"	"2"	"6"	"3"			"Pouilly sur Loire"	"En direct du producteur"
"Michel Brégeon"	"France"	"Vallée de la Loire"	"Muscadet-Sevre et Maine"	"blanc"	"2004"	"75 cl"	"2013-08-24"	"10.00"	"10.00"	"1"	"6"	"9"	"13"	"9"		"89 mois d'élevage avant embouteillage"	"Producteur"	"En direct du producteur"
"Michel Chapoutier - Domaine de Bila Haut - Occultum Lapidem"	"France"	"Languedoc-Roussillon"	"Latour de France"	"rouge"	"2013"	"75 cl"	"2015-05-06"	"12.90"	"12.90"	"9"	"12"	"2"	"10"	"2"			"Vente à la propriété"	"Achat sur Internet"
"Michel Tissot &amp; Fils, Le Vin des Abbesses"	"France"	"Jura"	"Château-Châlon"	"vin jaune"	"2004"	"62 cl"	"2016-10-09"	"0.00"	"0.00"	"1"	"1"	"5"	"30"	"5"			"Cadeau papa"	"Cadeau"
"Mumm - Cordon Rouge"	"France"	"Champagne"	"Champagne"	"blanc effervescent"	"-"	"75 cl"	"2016-01-07"	"0.00"	"0.00"	"6"	"6"	"0"	"5"	"1"			"Cadeau pharmacie"	"Non défini"
"Nicolas Joly - Clos de la Coulée de Serrant"	"France"	"Vallée de la Loire"	"Savennières"	"blanc"	"2009"	"75 cl"	"2015-08-12"	"62.00"	"62.00"	"6"	"6"	"4"	"15"	"4"				"En direct du producteur"
"Nicolas Joly - Les Vieux Clos"	"France"	"Vallée de la Loire"	"Savennières"	"blanc"	"2009"	"75 cl"	"2014-10-10"	"22.90"	"22.90"	"2"	"6"	"4"	"15"	"4"			"ventealapropriete.com"	"Achat sur Internet"
"Notios "	"Grèce"	"Péloponnèse"	"Péloponnèse"	"blanc"	"2012"	"75 cl"	"2013-05-03"	"10.90"	"10.90"	"2"	"3"	"1"	"5"	"1"				"Non défini"
"Petrus"	"France"	"Bordeaux"	"Pomerol"	"rouge"	"1984"	"75 cl"	"2014-01-17"	"0.00"	"800.00"	"0"	"1"	"5"	"30"	"5"			"Cadeau papa"	"Cadeau"
"Pierre Jean Villa - Jardin suspendu"	"France"	"Vallée du Rhône"	"Condrieu"	"blanc"	"2014"	"75 cl"	"2016-03-05"	"31.90"	"31.90"	"6"	"6"	"3"	"10"	"3"			"Ventealapropriete.com"	"Achat sur Internet"
"Pierre Naigeon"	"France"	"Bourgogne"	"Echezeaux"	"rouge"	"2009"	"75 cl"	"2013-12-21"	"98.00"	"95.00"	"1"	"1"	"5"	"15"	"5"			"bacchuseum"	"Caviste"
"Pommery - Louise"	"France"	"Champagne"	"Champagne"	"blanc effervescent"	"1998"	"75 cl"	"2015-04-03"	"0.00"	"78.00"	"0"	"1"	"2"	"10"	"2"			"DCNS"	"Cadeau"
"Quinta de la Rosa - douRosa"	"Portugal"	"Duriense-Douro-Porto"	"Douro"	"rouge"	"2011"	"75 cl"	"2015-08-15"	"11.90"	"11.90"	"5"	"6"	"1"	"9"	"4"			"Ventealapropriete.com"	"Achat sur Internet"
"Raymond et Martin Klein - Grand Cru Zinnkoepflé"	"France"	"Alsace et Lorraine"	"Alsace Riesling"	"blanc"	"2012"	"75 cl"	"2014-10-16"	"8.30"	"8.30"	"3"	"6"	"2"	"10"	"2"			"Producteur (Soultzmatt)"	"En direct du producteur"
"Reine Pédauque - 1er Les Charmes"	"France"	"Bourgogne"	"Meursault"	"blanc"	"2009"	"75 cl"	"2013-12-27"	"34.70"	"34.70"	"2"	"2"	"3"	"15"	"3"			"Leclerc"	"Grande surface"
"Romain Pertuzot - Les Beaumonts"	"France"	"Bourgogne"	"Chorey-Lès-Beaune"	"rouge"	"2011"	"1,5 l"	"2014-03-01"	"35.95"	"35.95"	"3"	"3"	"3"	"10"	"3"			"Cave de longchamps"	"Caviste"
"Seña"	"Chili"	"Aconcagua"	"Aconcagua Valley"	"rouge"	"2013"	"75 cl"	"2016-03-05"	"98.00"	"98.00"	"6"	"6"	"1"	"15"	"5"			"Ventealapropriete.com"	"Achat sur Internet"
"Serre de Guéry - L'intelligence"	"France"	"Languedoc-Roussillon"	"Vin de Pays d'Oc"	"blanc"	"2013"	"75 cl"	"2015-05-06"	"0.00"	"6.50"	"1"	"1"	"1"	"3"	"1"			"Cadeau caviste Nantes"	"Non défini"
"Talus Merlot"	"Etats-Unis"	"Californie"	"Lodi"	"rouge"	"2005"	"75 cl"	"2009-01-17"	"0.00"	"0.00"	"0"	"1"	"1"	"5"	"1"			"Anniversaire"	"Cadeau"
"Veuve Amiot - Brut Cuvée réservé"	"France"	"Vallée de la Loire"	"Saumur Mousseux"	"blanc effervescent"	"-"	"1,5 l"	"2015-08-12"	"19.00"	"19.00"	"1"	"1"	"1"	"4"	"1"			"à Saumur"	"En direct du producteur"
"Vieux Chemin"	"France"	"Vallée du Rhône"	"Châteauneuf du Pape"	"rouge"	"2007"	"75 cl"	"2009-01-17"	"0.00"	"15.00"	"0"	"1"	"3"	"10"	"3"			"Anniversaire"	"Cadeau"
"Xavier Vins - Cuvée Anonyme"	"France"	"Vallée du Rhône"	"Châteauneuf du Pape"	"rouge"	"2010"	"75 cl"	"2015-05-23"	"25.90"	"25.90"	"4"	"6"	"3"	"15"	"3"			"Ventealapropriete.com"	"Achat sur Internet"
